Course Code,Course Title,Delivery Type,Total Credits,Theory Credits,Practical Credits,Weekly Theory Hours,Weekly Practical Hours,Total Theory Contact Hours,Total Practical Contact Hours,Total Contact Hours,CBCS Catalog Type,Department Code,Description
ECO-150,Macroeconomics I,THEORY,4,4,0,4,0,60,0,60,CORE,ECO,Arts FYUGP EVEN semester catalog
EDU-150,Foundation of Education,THEORY,4,4,0,4,0,60,0,60,CORE,EDU,Arts FYUGP EVEN semester catalog
ENG-150,British Poetry: Milton To the Present,THEORY,4,4,0,4,0,60,0,60,CORE,ENG,Arts FYUGP EVEN semester catalog
GAR-150,Garo Oral Narratives and Folklore,THEORY,4,4,0,4,0,60,0,60,CORE,GAR,Arts FYUGP EVEN semester catalog
GEO-150,Introduction to Physical Geography,THEORY,4,4,0,4,0,60,0,60,CORE,GEO,Arts FYUGP EVEN semester catalog
HIS-150,History of India: Maurya to Post Gupta Period,THEORY,4,4,0,4,0,60,0,60,CORE,HIS,Arts FYUGP EVEN semester catalog
PHI-150,Ethics,THEORY,4,4,0,4,0,60,0,60,CORE,PHI,Arts FYUGP EVEN semester catalog
POL-150,Indian Political System,THEORY,4,4,0,4,0,60,0,60,CORE,POL,Arts FYUGP EVEN semester catalog
SOC-150,Principle of Sociology,THEORY,4,4,0,4,0,60,0,60,CORE,SOC,Arts FYUGP EVEN semester catalog
MDC-161,Entrepreneurship,THEORY,3,3,0,3,0,45,0,45,MDC,ENG,Arts FYUGP EVEN semester catalog
MDC-162,Environmental Ethics,THEORY,3,3,0,3,0,45,0,45,MDC,ENG,Arts FYUGP EVEN semester catalog
MDC-163,Fundamentals of Statistics,THEORY,3,3,0,3,0,45,0,45,MDC,ENG,Arts FYUGP EVEN semester catalog
MDC-164,Health & Hygiene Environmental Education and Disaster Management,THEORY,3,3,0,3,0,45,0,45,MDC,ENG,Arts FYUGP EVEN semester catalog
MDC-165,Introduction to Educational Psychology,THEORY,3,3,0,3,0,45,0,45,MDC,ENG,Arts FYUGP EVEN semester catalog
MDC-167,Physical Education and Sports Science,THEORY,3,3,0,3,0,45,0,45,MDC,ENG,Arts FYUGP EVEN semester catalog
MDC-168,Physical Geology & Geodynamics,THEORY,3,3,0,3,0,45,0,45,MDC,ENG,Arts FYUGP EVEN semester catalog
MDC-169,Understanding Human Rights,THEORY,3,3,0,3,0,45,0,45,MDC,ENG,Arts FYUGP EVEN semester catalog
AEC-170,Communicative English,THEORY,3,3,0,3,0,45,0,45,AEC,ENG,Arts FYUGP EVEN semester catalog
AEC-173,MIL-II: Communicative Garo,THEORY,3,3,0,3,0,45,0,45,AEC,ENG,Arts FYUGP EVEN semester catalog
SEC-180,Communication Skills,THEORY,3,3,0,3,0,45,0,45,SEC,ENG,Arts FYUGP EVEN semester catalog
SEC-181,Confidence Building,THEORY,3,3,0,3,0,45,0,45,SEC,ENG,Arts FYUGP EVEN semester catalog
SEC-182,E-Commerce,THEORY,3,3,0,3,0,45,0,45,SEC,ENG,Arts FYUGP EVEN semester catalog
SEC-183,Python Programming,THEORY,3,3,0,3,0,45,0,45,SEC,ENG,Arts FYUGP EVEN semester catalog
VAC-190,Health and Wellness,THEORY,3,3,0,3,0,45,0,45,VAC,ENG,Arts FYUGP EVEN semester catalog
VAC-191,Life Skills Education,THEORY,3,3,0,3,0,45,0,45,VAC,ENG,Arts FYUGP EVEN semester catalog
VAC-192,Understanding India,THEORY,3,3,0,3,0,45,0,45,VAC,ENG,Arts FYUGP EVEN semester catalog
