Course Code,Course Title,Delivery Type,Total Credits,Theory Credits,Practical Credits,Weekly Theory Hours,Weekly Practical Hours,Total Theory Contact Hours,Total Practical Contact Hours,Total Contact Hours,CBCS Catalog Type,Department Code,Description
ECO-100,Microeconomics I,THEORY,4,4,0,4,0,60,0,60,CORE,ECO,Arts FYUGP ODD semester catalog
ECO-200,Macroeconomics I,THEORY,4,4,0,4,0,60,0,60,CORE,ECO,Arts FYUGP ODD semester catalog
ECO-201,Indian Economy,THEORY,4,4,0,4,0,60,0,60,CORE,ECO,Arts FYUGP ODD semester catalog
ECO-300,International Economics,THEORY,4,4,0,4,0,60,0,60,CORE,ECO,Arts FYUGP ODD semester catalog
ECO-301,Public Finance,THEORY,4,4,0,4,0,60,0,60,CORE,ECO,Arts FYUGP ODD semester catalog
ECO-302,Development Economics,THEORY,4,4,0,4,0,60,0,60,CORE,ECO,Arts FYUGP ODD semester catalog
ECO-303,Environmental Economics,THEORY,4,4,0,4,0,60,0,60,CORE,ECO,Arts FYUGP ODD semester catalog
ECO-304,Economics Internship,INTERNSHIP,4,0,0,0,0,0,0,120,SKILL,ECO,Arts FYUGP ODD semester catalog
EDU-100,Foundations of Education,THEORY,4,4,0,4,0,60,0,60,CORE,EDU,Arts FYUGP ODD semester catalog
EDU-200,Educational Psychology,THEORY,4,4,0,4,0,60,0,60,CORE,EDU,Arts FYUGP ODD semester catalog
EDU-201,School Management,THEORY,4,4,0,4,0,60,0,60,CORE,EDU,Arts FYUGP ODD semester catalog
EDU-300,Educational Technology,THEORY,4,4,0,4,0,60,0,60,CORE,EDU,Arts FYUGP ODD semester catalog
EDU-301,Guidance and Counselling,THEORY,4,4,0,4,0,60,0,60,CORE,EDU,Arts FYUGP ODD semester catalog
EDU-302,Comparative Education,THEORY,4,4,0,4,0,60,0,60,CORE,EDU,Arts FYUGP ODD semester catalog
EDU-303,Education Extension,THEORY,4,4,0,4,0,60,0,60,CORE,EDU,Arts FYUGP ODD semester catalog
